epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.79697,0.77061,7.28258,0.00473,0.00324,0.97059,0.00937,0.00585,0.688,6.81155,0.00579,0.00014,0.00014,0.00014
2,10.9199,0.67794,6.64242,0.00417,0.00333,1,0.57352,0.4279,0.62073,6.70519,0.00537,0.000295757,0.000295757,0.000295757
3,12.9079,0.70601,5.74995,0.00425,0.00333,1,0.38193,0.28811,0.59326,6.6516,0.00524,0.000446989,0.000446989,0.000446989
4,15.394,0.70778,5.12483,0.00441,0.00324,0.97059,0.1598,0.10007,0.68586,6.81887,0.00601,0.000593694,0.000593694,0.000593694
5,17.3483,0.7111,4.85116,0.00437,0.00324,0.97059,0.15697,0.09539,0.64736,6.87345,0.00558,0.000735874,0.000735874,0.000735874
6,19.3424,0.75354,4.20113,0.0046,0.00333,1,0.05075,0.03998,0.71229,6.93523,0.0067,0.000873529,0.000873529,0.000873529
7,21.6358,0.77775,3.85328,0.00486,0.61979,0.05055,0.19911,0.13071,0.7802,6.79395,0.00726,0.00100666,0.00100666,0.00100666
8,23.4139,0.73784,3.31772,0.00456,0.49169,0.05882,0.25582,0.17871,0.64494,6.34425,0.00579,0.00113526,0.00113526,0.00113526
9,28.6318,0.73251,3.53766,0.00458,0.56674,0.04119,0.54435,0.35487,1.06069,6.20261,0.00983,0.00125934,0.00125934,0.00125934
10,30.343,0.75806,3.00321,0.00449,0.94225,0.48028,0.91283,0.69435,0.70925,5.28726,0.00645,0.00137889,0.00137889,0.00137889
11,32.1132,0.71002,2.73615,0.00429,0.9986,0.82353,0.9658,0.73949,0.69672,4.50608,0.00589,0.00149391,0.00149391,0.00149391
12,33.9371,0.72063,2.44784,0.00449,0.96568,0.82781,0.98175,0.77907,0.73367,3.58398,0.00617,0.00160441,0.00160441,0.00160441
13,37.1578,0.74754,2.33713,0.00461,0.87501,0.76471,0.94263,0.78309,0.69682,2.43171,0.00605,0.00166057,0.00166057,0.00166057
14,39.8373,0.79728,2.04767,0.0049,0.93198,0.79412,0.95306,0.74765,0.85806,1.93321,0.00725,0.00163229,0.00163229,0.00163229
15,42.5273,0.81894,2.09914,0.00518,0.88363,0.89351,0.94972,0.75891,0.72565,1.66187,0.0062,0.001604,0.001604,0.001604
16,44.7692,0.75592,1.78616,0.0044,0.8475,0.79412,0.90716,0.71655,0.68925,1.49322,0.00628,0.00157571,0.00157571,0.00157571
17,46.7628,0.72755,1.58711,0.00428,0.89323,0.79412,0.94584,0.77211,0.6586,1.36978,0.00566,0.00154743,0.00154743,0.00154743
18,48.7079,0.75321,1.50413,0.00449,0.99572,0.97059,0.99389,0.81767,0.61129,1.03439,0.00512,0.00151914,0.00151914,0.00151914
19,51.0784,0.74383,1.36834,0.00416,0.94409,0.99336,0.9904,0.79605,0.74098,0.81423,0.00647,0.00149086,0.00149086,0.00149086
20,53.1767,0.72095,1.40027,0.00464,0.94065,0.93252,0.985,0.81011,0.63218,0.72414,0.00564,0.00146257,0.00146257,0.00146257
21,55.1933,0.66287,1.23062,0.00397,0.97101,0.98534,0.99014,0.81051,0.65409,0.59218,0.00546,0.00143429,0.00143429,0.00143429
22,57.1425,0.68431,1.22366,0.00435,0.94233,1,0.99357,0.82012,0.66968,0.48254,0.00587,0.001406,0.001406,0.001406
23,58.9301,0.66908,1.10565,0.00407,0.86177,0.91696,0.96422,0.77327,0.59161,0.67446,0.00502,0.00137771,0.00137771,0.00137771
24,60.7366,0.60853,1.04379,0.00368,0.92028,0.94118,0.9772,0.80226,0.61607,0.51371,0.00582,0.00134943,0.00134943,0.00134943
25,62.5762,0.70016,0.92287,0.00414,0.97025,0.95929,0.98273,0.83401,0.58902,0.46486,0.00529,0.00132114,0.00132114,0.00132114
26,64.3515,0.74937,1.00118,0.0045,0.91501,0.95008,0.98283,0.77878,0.79048,0.44751,0.00669,0.00129286,0.00129286,0.00129286
27,66.0977,0.66848,0.90377,0.00395,1,0.94056,0.99301,0.85265,0.55206,0.3604,0.00472,0.00126457,0.00126457,0.00126457
28,67.9674,0.65418,0.81287,0.00405,0.89112,0.91176,0.96482,0.79233,0.61768,0.57494,0.00526,0.00123629,0.00123629,0.00123629
29,70.3332,0.64314,0.76151,0.0039,0.88176,0.97059,0.96221,0.77204,0.69743,0.49963,0.0059,0.001208,0.001208,0.001208
30,72.3901,0.59989,0.78813,0.00365,0.94008,0.92307,0.97771,0.84057,0.51134,0.42305,0.00437,0.00117971,0.00117971,0.00117971
31,75.1201,0.5744,0.72136,0.00367,0.99124,1,0.995,0.84344,0.5926,0.36589,0.00492,0.00115143,0.00115143,0.00115143
32,77.415,0.56544,0.65459,0.0032,0.96967,1,0.99357,0.81669,0.72284,0.30219,0.00669,0.00112314,0.00112314,0.00112314
33,79.4416,0.57247,0.65206,0.00347,0.95948,0.94118,0.9834,0.83667,0.55935,0.37178,0.00502,0.00109486,0.00109486,0.00109486
34,81.5136,0.61364,0.62326,0.00392,0.89844,0.94118,0.97928,0.8147,0.62092,0.41187,0.00568,0.00106657,0.00106657,0.00106657
35,83.5629,0.6134,0.63371,0.00366,0.91408,0.93874,0.9838,0.86292,0.49941,0.37827,0.00435,0.00103829,0.00103829,0.00103829
36,85.8974,0.5522,0.54388,0.00321,0.94349,0.98227,0.98948,0.85814,0.49335,0.44077,0.00449,0.00101,0.00101,0.00101
37,88.8737,0.5945,0.59891,0.00337,0.9925,0.91176,0.98545,0.86487,0.5009,0.34542,0.00445,0.000981714,0.000981714,0.000981714
38,91.5842,0.53936,0.54424,0.00316,0.89513,0.94118,0.98028,0.81108,0.55072,0.47928,0.00516,0.000953429,0.000953429,0.000953429
39,93.9031,0.5803,0.55593,0.00355,0.91712,0.9765,0.98165,0.82864,0.51524,0.44978,0.0048,0.000925143,0.000925143,0.000925143
40,96.0984,0.60144,0.5143,0.00358,0.94382,0.98839,0.98962,0.84666,0.52797,0.34041,0.00457,0.000896857,0.000896857,0.000896857
